['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-30T20_55_08.960Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-14T01_43_12.290Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-10T13_45_58.535Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-23T01_22_45.433Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-03T06_59_58.097Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-19T00_34_40.688Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-23T12_27_27.125Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-20T04_52_25.519Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-12T09_22_18.348Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-11T00_31_06.201Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-29T03_23_38.372Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-17T23_21_32.631Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-01T06_17_14.636Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-12T08_28_24.167Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-13T16_18_40.813Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-05T22_37_22.080Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-01T03_58_38.596Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-11T09_19_51.066Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-09T06_14_16.496Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-04T19_08_49.903Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-27T04_58_05.196Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-30T19_07_50.019Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-20T23_10_35.895Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-08T12_02_44.163Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-25T12_05_12.598Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-11T07_23_55.194Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-29T20_55_38.810Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-06T09_31_37.279Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-11T07_46_12.199Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-31T19_05_33.100Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-10T04_29_29.039Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-31T18_45_23.480Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-05T22_58_29.389Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-04T06_31_37.442Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-07T23_25_07.106Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-27T08_53_07.146Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-13T07_46_08.890Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-29T02_23_54.879Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-29T10_55_50.919Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-10-07T13_06_17.527Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-21T17_46_02.682Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-24T20_04_10.048Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-16T21_55_32.027Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-10T00_36_03.519Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-07-20T07_08_30.479Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-06-14T06_06_51.624Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-09-25T13_11_07.999Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-10000000a1d0792e', 'conf_20240314_TABMON', '2024-08-13T20_42_21.508Z.mp3', 'Norway', 'site_name', 59.309662, 4.892942]
