['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-15T23_40_06.044Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-13T16_30_18.103Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-10T05_33_22.781Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-16T19_24_11.414Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-08T00_57_11.614Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-25T08_22_03.740Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-10T02_15_28.054Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-19T21_57_36.748Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-02T15_41_44.092Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-06T21_02_04.023Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-13T05_30_52.757Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-23T12_36_50.548Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-20T01_34_03.812Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-08T07_20_57.597Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-26T17_31_07.670Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-07T23_06_26.914Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-19T21_52_26.661Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-30T10_06_18.375Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-19T23_18_09.051Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-10T20_54_32.659Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-28T00_10_07.707Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-03T06_03_38.224Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-04T23_15_24.242Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-26T18_36_33.903Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-08T01_59_04.267Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-25T12_43_49.421Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-21T09_54_14.516Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-16T14_57_23.799Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-17T07_40_13.977Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-09T09_08_59.197Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-14T00_46_48.979Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-10-07T19_09_51.248Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-20T00_48_45.507Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
['/DYNI/tabmon/tabmon/proj_tabmon_NINA', 'bugg_RPiID-1000000023646e76', 'conf_20240314_TABMON', '2024-09-22T01_55_46.508Z.mp3', 'Norway', 'site_name', 65.678383, 12.077616]
